Symbol,Year,Dividend Date,Market Capitalization,Count of total dividends paid for that year,How much was paid,Price at Beginning of Year,Price at End of Year
BMO,2021,10/29/2021,61403512832.0,4.0,0.859,67.96183013916016,100.5711898803711
BMO,2022,01/31/2022,61403512832.0,4.0,1.042,102.22344207763672,88.58663177490234
BMO,2022,04/29/2022,61403512832.0,4.0,1.039,102.22344207763672,88.58663177490234
BMO,2022,07/29/2022,61403512832.0,4.0,1.085,102.22344207763672,88.58663177490234
BMO,2022,10/31/2022,61403512832.0,4.0,1.022,102.22344207763672,88.58663177490234
BNS,2021,01/04/2021,59549048832.0,5.0,0.707,47.11761474609375,66.04045867919922
BNS,2021,04/05/2021,59549048832.0,5.0,0.716,47.11761474609375,66.04045867919922
BNS,2021,07/06/2021,59549048832.0,5.0,0.73,47.11761474609375,66.04045867919922
BNS,2021,10/04/2021,59549048832.0,5.0,0.712,47.11761474609375,66.04045867919922
BNS,2021,12/31/2021,59549048832.0,5.0,0.785,47.11761474609375,66.04045867919922
BNS,2022,04/04/2022,59549048832.0,3.0,0.799,66.49192810058594,47.49136734008789
BNS,2022,07/05/2022,59549048832.0,3.0,0.8,66.49192810058594,47.49136734008789
BNS,2022,10/03/2022,59549048832.0,3.0,0.745,66.49192810058594,47.49136734008789
CB,2021,03/18/2021,79670517760.0,4.0,0.78,144.0942840576172,189.18185424804688
CB,2021,06/17/2021,79670517760.0,4.0,0.8,144.0942840576172,189.18185424804688
CB,2021,09/16/2021,79670517760.0,4.0,0.8,144.0942840576172,189.18185424804688
CB,2021,12/16/2021,79670517760.0,4.0,0.8,144.0942840576172,189.18185424804688
CB,2022,03/17/2022,79670517760.0,4.0,0.8,187.5458221435547,219.62295532226562
CB,2022,06/16/2022,79670517760.0,4.0,0.83,187.5458221435547,219.62295532226562
CB,2022,09/15/2022,79670517760.0,4.0,0.83,187.5458221435547,219.62295532226562
CB,2022,12/15/2022,79670517760.0,4.0,0.83,187.5458221435547,219.62295532226562
LOW,2021,01/19/2021,122944667648.0,4.0,0.6,153.66580200195312,249.1754913330078
LOW,2021,04/20/2021,122944667648.0,4.0,0.6,153.66580200195312,249.1754913330078
LOW,2021,07/20/2021,122944667648.0,4.0,0.8,153.66580200195312,249.1754913330078
LOW,2021,10/19/2021,122944667648.0,4.0,0.8,153.66580200195312,249.1754913330078
LOW,2022,01/18/2022,122944667648.0,4.0,0.8,248.32022094726562,197.2338409423828
LOW,2022,04/19/2022,122944667648.0,4.0,0.8,248.32022094726562,197.2338409423828
LOW,2022,07/19/2022,122944667648.0,4.0,1.05,248.32022094726562,197.2338409423828
LOW,2022,10/18/2022,122944667648.0,4.0,1.05,248.32022094726562,197.2338409423828
SYY,2021,01/07/2021,36872355840.0,4.0,0.45,68.09639739990234,75.19959259033203
SYY,2021,03/31/2021,36872355840.0,4.0,0.45,68.09639739990234,75.19959259033203
SYY,2021,07/01/2021,36872355840.0,4.0,0.47,68.09639739990234,75.19959259033203
SYY,2021,09/30/2021,36872355840.0,4.0,0.47,68.09639739990234,75.19959259033203
SYY,2022,01/06/2022,36872355840.0,4.0,0.47,76.11548614501953,75.48267364501953
SYY,2022,03/31/2022,36872355840.0,4.0,0.47,76.11548614501953,75.48267364501953
SYY,2022,06/30/2022,36872355840.0,4.0,0.49,76.11548614501953,75.48267364501953
SYY,2022,10/06/2022,36872355840.0,4.0,0.49,76.11548614501953,75.48267364501953
ITW,2021,03/30/2021,69648490496.0,4.0,1.14,192.93234252929688,237.9883575439453
ITW,2021,06/29/2021,69648490496.0,4.0,1.14,192.93234252929688,237.9883575439453
ITW,2021,09/29/2021,69648490496.0,4.0,1.22,192.93234252929688,237.9883575439453
ITW,2021,12/30/2021,69648490496.0,4.0,1.22,192.93234252929688,237.9883575439453
ITW,2022,03/30/2022,69648490496.0,4.0,1.22,236.11671447753906,219.09471130371094
ITW,2022,06/29/2022,69648490496.0,4.0,1.22,236.11671447753906,219.09471130371094
ITW,2022,09/29/2022,69648490496.0,4.0,1.31,236.11671447753906,219.09471130371094
ITW,2022,12/29/2022,69648490496.0,4.0,1.31,236.11671447753906,219.09471130371094
WMT,2021,03/18/2021,401419632640.0,4.0,0.55,140.8892059326172,139.84767150878906
WMT,2021,05/06/2021,401419632640.0,4.0,0.55,140.8892059326172,139.84767150878906
WMT,2021,08/12/2021,401419632640.0,4.0,0.55,140.8892059326172,139.84767150878906
WMT,2021,12/09/2021,401419632640.0,4.0,0.55,140.8892059326172,139.84767150878906
WMT,2022,03/17/2022,401419632640.0,4.0,0.56,141.2933349609375,140.6768341064453
